weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
37.0,170.0,4.8176,1.0,2.0,1.0,2.0
2.56,1118.5,4.72105,2.0,23.0,1.0,2.0
9.2,449.0,4.7996,4.0,26.0,1.0,2.0
9.6,193.5,4.840949999999999,13.0,4.5,0.5,2.0
3.7,90.0,4.7778,6.0,0.0,1.0,7.0
38.2,129.5,4.70655,7.0,1.0,1.0,7.0
9.6,486.0,4.6584,8.0,3.0,1.0,2.0
7.2,155.0,4.729,9.5,6.0,0.0,2.0
28.5,161.0,4.764,9.5,0.0,1.0,7.0
7.6,333.0,4.8258,11.0,3.0,0.0,2.0
14.0,213.0,4.6667,12.5,11.0,1.0,2.0
9.36,493.0,4.643,12.5,4.0,1.0,2.0
14.9,243.0,4.5021,14.0,5.0,1.0,2.0
8.6,155.0,4.7161,17.0,0.0,1.0,7.0
31.3,76.0,4.4474,15.5,3.0,0.0,7.0
255.0,95.0,4.0842,16.5,3.0,0.0,7.0
3.7,254.5,4.5992,19.5,0.0,1.0,7.0
15.65,901.0,4.7392,20.0,6.0,1.0,2.0
3.5,129.0,4.5,21.0,7.0,0.0,2.0
6.9,215.0,4.6,21.0,0.0,0.0,7.0
3.875,99.5,4.699999999999999,21.0,2.5,0.0,2.0
3.6,840.0,4.6,21.0,0.0,0.0,7.0
2.67,278.0,4.7,21.0,10.0,1.0,2.0
3.7,255.0,4.7,21.0,0.0,1.0,7.0
2.09,40.0,3.9,21.0,0.0,0.0,7.0
7.8,304.0,4.8,21.0,6.0,0.0,7.0
5.8,2189.5,4.7,21.0,0.0,0.0,2.0
7.34,303.0,4.6,21.0,0.0,0.0,2.0
10.8,427.5,4.7,21.0,2.0,1.0,2.0
2.4,794.0,4.7,2.0,0.0,1.0,2.0
2.1,208.0,4.6,4.0,0.0,1.0,2.0
2.9,344.0,4.7,6.5,5.0,1.0,2.0
5.5,67.0,4.8,8.5,0.0,0.0,2.0
2.65,151.0,4.6,14.0,7.0,0.0,2.0
2.5,91.0,4.6,16.5,5.0,1.0,2.0
3.925,410.0,4.2,21.0,0.0,0.0,2.0
3.6,29.0,4.3,21.0,0.0,0.0,7.0
5.224,9.0,4.6,21.0,0.0,0.0,2.0
4.25,64.0,4.5,21.0,0.0,0.0,2.0
2.9,1177.5,4.7,21.0,0.0,0.0,2.0
2.5,205.0,4.7,21.0,0.0,0.0,2.0
2.89,802.0,4.8,21.0,0.0,0.0,7.0
6.75,3118.0,4.6,21.0,0.0,0.0,2.0
9.4,235.0,4.4,21.0,0.0,0.0,7.0
7.25,252.0,4.7,21.0,6.0,1.0,2.0
5.58,710.0,4.7,21.0,0.0,0.0,2.0
8.0,19.0,4.7,21.0,0.0,0.0,2.0
8.6,145.0,4.6,21.0,12.0,0.0,2.0
4.685,518.5,4.3,1.0,12.0,1.0,2.0
3.968,229.0,4.4,2.0,12.0,1.0,2.0
3.0,143.0,4.6,3.0,12.0,1.0,2.0
1.9,16.0,4.9,4.0,5.0,0.0,2.0
3.4,74.0,4.7,5.5,12.0,1.0,2.0
4.8,106.0,4.3,5.5,12.0,1.0,2.0
4.96,79.0,3.9,7.0,5.0,1.0,2.0
9.9,10.5,3.6,10.0,3.0,1.0,2.0
3.4,84.0,4.5,8.5,12.0,1.0,7.0
5.29,8.333333333333334,4.766666666666667,15.666666666666666,12.0,1.0,7.0
