HD,city,state,LO,city,state,address,city,store,time,url,zipcode,STATE,STATENS,STATE_NAME,STUSAB,NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state:1,place
1,Aberdeen,24,,,,979 Beards Hill Road,Aberdeen,HD,1597100429.52104,https://www.homedepot.com/,21001,24,1714934,Maryland,MD,"Aberdeen Proving Ground CDP, Maryland",2723,569,539,327,18,9,28641,,,,,,24,175
1,Aberdeen,53,,,,2213 Port Industrial Rd,Aberdeen,HD,1597100892.16809,https://www.homedepot.com/,98520,53,1779804,Washington,WA,"Aberdeen city, Washington",16359,1377,2250,2064,1506,1061,21544,,,,,,53,100
1,Abilene,48,2,Abilene,48,4590 Sw Drive,Abilene,HD,1597100813.68483,https://www.homedepot.com/,79606,48,1779801,Texas,TX,"Abilene city, Texas",123676,19407,20699,14346,8294,7583,23756,,,,,,48,1000
1,Absecon,34,,,,421 Absecon Blvd,Absecon,HD,1597100547.43841,https://www.homedepot.com/,8201,34,1779795,New Jersey,NJ,"Absecon city, New Jersey",8289,708,834,882,1062,789,35991,,,,,,34,100
1,Acworth,13,,,,3355 Cobb Pkwy,Acworth,HD,1597100353.0166,https://www.homedepot.com/,30101,13,1705317,Georgia,GA,"Acworth city, Georgia",22336,1963,3274,3092,1338,1056,27971,,,,,,13,408
1,Ada,40,,,,515 J A Richardson Blvd,Ada,HD,1597100662.27727,https://www.homedepot.com/,74820,40,1102857,Oklahoma,OK,"Ada city, Oklahoma",17276,2940,2776,1795,1159,1371,22921,,,,,,40,200
1,Aiken,45,1,Aiken,45,Athol Avenue,Aiken,LOW,1597173499.41608,https://www.lowes.com/,29803,45,1779799,South Carolina,SC,"Aiken city, South Carolina",30464,2822,3385,2521,4067,3819,34274,,,,,,45,550
1,Akron,39,2,Akron,39,Springside Drive,Akron,LOW,1597173311.81506,https://www.lowes.com/,44333,39,1085497,Ohio,OH,"Akron city, Ohio",198314,22422,30489,23022,16491,11731,23430,,,,,,39,1000
1,Alamogordo,35,1,Alamogordo,35,675,Alamogordo,LOW,1597173206.62091,https://www.lowes.com/,88310,35,897535,New Mexico,NM,"Alamogordo city, New Mexico",31230,3205,4760,3428,2803,2618,24620,,,,,,35,1780
1,Albany,13,1,Albany,13,Stuart Avenue,Albany,LOW,1597172487.2203,https://www.lowes.com/,31707,13,1705317,Georgia,GA,"Albany city, Georgia",74631,9926,10310,8765,6074,4214,19579,,,,,,13,1052
2,Albany,36,,,,979 Central Avenue,Albany,HD,1597100598.19078,https://www.homedepot.com/,12205,36,1779796,New York,NY,"Albany city, New York",97889,21091,15951,10400,6670,5906,28402,,,,,,36,1000
1,Albany,41,1,Albany,41,9th Avenue Southeast,Albany,LOW,1597173383.72369,https://www.lowes.com/,97322,41,1155107,Oregon,OR,"Albany city, Oregon",52736,5025,7443,6549,4555,3530,28196,,,,,,41,1000
1,Albert Lea,27,,,,2400 Consul Street,Albert Lea,HD,1597100483.26607,https://www.homedepot.com/,56007,27,662849,Minnesota,MN,"Albert Lea city, Minnesota",17687,1301,2310,1807,1850,2280,24988,,,,,,27,694
4,Albuquerque,35,,,,2820 Coors Blvd Nw,Albuquerque,HD,1597100557.64014,https://www.homedepot.com/,87120,35,897535,New Mexico,NM,"Los Ranchos de Albuquerque village, New Mexico",6131,195,636,537,1177,506,53744,,,,,,35,43930
1,Alexander City,1,,,,1460 Hwy 280,Alexander City,HD,1597100286.4709,https://www.homedepot.com/,35010,1,1779775,Alabama,AL,"Alexander City city, Alabama",14621,1217,1851,1334,1682,1206,21498,,,,,,1,1132
1,Alexandria,22,1,Alexandria,22,North Boulevard,Alexandria,LOW,1597172748.35642,https://www.lowes.com/,71301,22,1629543,Louisiana,LA,"Alexandria city, Louisiana",47539,4253,6510,5459,4124,3673,25896,,,,,,22,975
3,Alexandria,51,1,Alexandria,51,Woodstream Boulevard,Alexandria,LOW,1597173703.38784,https://www.lowes.com/,22554,51,1779803,Virginia,VA,"Alexandria city, Virginia",156505,9288,34947,28714,10718,6225,59239,,,,,,51,1000
1,Algonquin,17,,,,200 S Randall Rd,Algonquin,HD,1597100376.16645,https://www.homedepot.com/,60102,17,1779784,Illinois,IL,"Algonquin village, Illinois",30709,2740,2942,4053,2305,1015,43549,,,,,,17,685
1,Alhambra,6,,,,500 S Marengo Avenue,Alhambra,HD,1597100305.23242,https://www.homedepot.com/,91803,6,1779778,California,CA,"Alhambra city, California",84974,7265,13884,11611,7507,6815,28854,,,,,,6,884
1,Allen,48,1,Allen,48,909 W Mcdermott Dr,Allen,HD,1597100814.12995,https://www.homedepot.com/,75013,48,1779801,Texas,TX,"McAllen city, Texas",141597,13680,20085,19377,9529,8623,22444,,,,,,48,45384
1,Allen Park,26,1,Allen Park,26,3163 Fairlane Drive,Allen Park,HD,1597100465.88543,https://www.homedepot.com/,48101,26,1779789,Michigan,MI,"Allen Park city, Michigan",27353,2126,3410,3598,2261,2228,33981,,,,,,26,1380
1,Allentown,42,,,,1951 Glenwood St Sw,Allentown,HD,1597100725.40222,https://www.homedepot.com/,18103,42,1779798,Pennsylvania,PA,"Allentown city, Pennsylvania",120410,15140,18922,14770,7719,6654,20235,,,,,,42,2000
1,Allison Park,42,,,,4960 William Flynn Hwy,Allison Park,HD,1597100725.64463,https://www.homedepot.com/,15101,42,1779798,Pennsylvania,PA,"Allison Park CDP, Pennsylvania",22855,1747,2433,2585,2323,2293,43964,,,,,,42,2056
1,Alpena,26,,,,1348 M-32,Alpena,HD,1597100466.14517,https://www.homedepot.com/,49707,26,1779789,Michigan,MI,"Alpena city, Michigan",10086,838,1188,1296,1023,1126,22806,,,,,,26,1740
1,Alpharetta,13,,,,5300 Windward Pkwy,Alpharetta,HD,1597100353.40063,https://www.homedepot.com/,30004,13,1705317,Georgia,GA,"Alpharetta city, Georgia",64672,3739,7003,10217,3658,2393,54474,,,,,,13,1696
1,Alsip,17,,,,12000 S Cicero Ave,Alsip,HD,1597100376.34779,https://www.homedepot.com/,60803,17,1779784,Illinois,IL,"Alsip village, Illinois",19179,1761,2889,2481,1827,1053,27413,,,,,,17,1010
1,Altamonte Springs,12,,,,"882 W State Rd, 436",Altamonte Springs,HD,1597100341.54068,https://www.homedepot.com/,32714,12,294478,Florida,FL,"Altamonte Springs city, Florida",43426,3268,8594,6444,3527,2909,30661,,,,,,12,950
1,Alton,17,1,Alton,17,Oakwood Road,Alton,LOW,1597172615.38151,https://www.lowes.com/,62002,17,1779784,Illinois,IL,"East Alton village, Illinois",6099,557,872,730,668,292,26884,,,,,,17,21553
1,Altoona,42,1,Altoona,42,1707,Altoona,LOW,1597173407.71883,https://www.lowes.com/,16602,42,1779798,Pennsylvania,PA,"Altoona city, Pennsylvania",44372,4133,6117,5580,3905,3204,22995,,,,,,42,2184
1,Alvin,48,,,,140 N Bypass 35,Alvin,HD,1597100814.26403,https://www.homedepot.com/,77511,48,1779801,Texas,TX,"Alvin city, Texas",26154,2829,3831,3590,1737,1502,24401,,,,,,48,2272
2,Amarillo,48,2,Amarillo,48,Cape Colony Drive,Amarillo,LOW,1597173606.72879,https://www.lowes.com/,79121,48,1779801,Texas,TX,"Amarillo city, Texas",198773,18746,30619,25196,14482,11249,27950,,,,,,48,3000
1,American Fork,49,,,,885 W Grassland Drive,American Fork,HD,1597100838.93036,https://www.homedepot.com/,84003,49,1455989,Utah,UT,"American Fork city, Utah",29384,3039,3785,4041,1647,1269,24551,,,,,,49,1310
1,Amherst,36,1,Amherst,36,2065 Niagara Falls Blvd,Amherst,HD,1597100598.58872,https://www.homedepot.com/,14228,36,1779796,New York,NY,,,,,,,,,,,,,,,
1,Amsterdam,36,1,Amsterdam,36,Wallins Corners Road,Amsterdam,LOW,1597173260.76516,https://www.lowes.com/,12010,36,1779796,New York,NY,"Amsterdam city, New York",17927,1753,2607,2051,1468,1460,21135,,,,,,36,2066
2,Anaheim,6,1,Anaheim,6,Durst Street,Anaheim,LOW,1597172263.6249,https://www.lowes.com/,92801,6,1779778,California,CA,"Anaheim city, California",349668,36658,56626,47115,22309,16586,27501,,,,,,6,2000
3,Anchorage,2,3,Anchorage,2,Provider Road,Anchorage,LOW,1597172140.271,https://www.lowes.com/,99521,2,1785533,Alaska,AK,"Anchorage municipality, Alaska",296112,30921,51563,37921,19498,9994,39839,,,,,,2,3000
1,Anderson,45,2,Anderson,45,West Beltline Boulevard,Anderson,LOW,1597173499.91875,https://www.lowes.com/,19621,45,1779799,South Carolina,SC,"Anderson city, South Carolina",27129,3220,3743,2698,2602,2744,22632,,,,,,45,1360
1,Ankeny,19,,,,2335 Se Delaware Ave,Ankeny,HD,1597100393.51126,https://www.homedepot.com/,50021,19,1779785,Iowa,IA,"Ankeny city, Iowa",59152,5828,10044,8944,3459,2248,38879,,,,,,19,2305
2,Annapolis,24,,,,55 Forest Plaza,Annapolis,HD,1597100431.6714,https://www.homedepot.com/,21401,24,1714934,Maryland,MD,"Annapolis city, Maryland",39147,3481,6862,5606,3806,2103,44524,,,,,,24,1600
1,Antioch,47,,,,1155 Bell Rd,Antioch,HD,1597100766.37378,https://www.homedepot.com/,37013,47,1325873,Tennessee,TN,,,,,,,,,,,,,,,
1,Apex,37,1,Apex,37,1101,Apex,LOW,1597173037.39763,https://www.lowes.com/,27502,37,1027616,North Carolina,NC,"Apex town, North Carolina",48254,2768,4733,9217,2356,1393,43769,,,,,,37,1520
1,Apopka,12,1,Apopka,12,Old Dixie Highway,Apopka,LOW,1597172425.2371,https://www.lowes.com/,32768,12,294478,Florida,FL,"South Apopka CDP, Florida",6081,557,946,713,352,210,11291,,,,,,12,67163
1,Apple Valley,27,,,,15101 Flagstaff Ave,Apple Valley,HD,1597100483.56808,https://www.homedepot.com/,55124,27,662849,Minnesota,MN,"Apple Valley city, Minnesota",51931,4239,6341,6597,4457,2681,41673,,,,,,27,1900
1,Apple Valley,6,1,Apple Valley,6,12218 Apple Valley Rd,Apple Valley,HD,1597100305.76202,https://www.homedepot.com/,92308,6,1779778,California,CA,"Apple Valley town, California",72359,6126,8760,7912,7342,5125,25377,,,,,,6,2364
1,Appleton,55,1,Appleton,55,W3255,Appleton,LOW,1597173809.38378,https://www.lowes.com/,54915,55,1779806,Wisconsin,WI,"Appleton city, Wisconsin",74234,7126,10551,9579,5316,4353,30517,,,,,,55,2375
