byweek,nlabel,platform,product,manufacturer,model,price,ads,in_stock,weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
01,LOW10-Tool 20-Volt Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)DEWALT,LOW,10-Tool 20-Volt Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK1020D2,499.0,0.0,1.0,37.0,170.0,4.8176,1.0,2.0,1.0,2.0
01,LOW20-Volt Max 1/2-in Brushless Cordless Drill (Charger Included)DEWALT,LOW,20-Volt Max 1/2-in Brushless Cordless Drill (Charger Included),DEWALT,DCD777C2,99.0,0.0,1.0,2.56,1118.5,4.72105,2.0,23.0,1.0,2.0
01,LOW1-in SDS-plus 8-Amp Keyless Rotary HammerBosch,LOW,1-in SDS-plus 8-Amp Keyless Rotary Hammer,Bosch,11255VSR-GWS8,259.0,0.0,0.0,,15.0,4.5333,3.0,0.0,0.0,7.0
01,LOW2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)DEWALT,LOW,2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK277C2,249.99,0.0,1.0,9.2,449.0,4.7996,4.0,26.0,1.0,2.0
01,LOWXR 2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)DEWALT,LOW,XR 2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK283D2,289.0,0.0,1.0,9.6,193.5,4.840949999999999,13.0,4.5,0.5,2.0
01,LOW20-Volt Max Variable Speed Cordless Impact Driver (2-Battery)DEWALT,LOW,20-Volt Max Variable Speed Cordless Impact Driver (2-Battery),DEWALT,DCF885C2,179.0,0.0,0.0,3.7,90.0,4.7778,6.0,0.0,1.0,7.0
01,LOWV20 8-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)CRAFTSMAN,LOW,V20 8-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),CRAFTSMAN,CMCK800D2,299.0,0.0,1.0,38.2,129.5,4.70655,7.0,1.0,1.0,7.0
01,LOWV20 2-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)CRAFTSMAN,LOW,V20 2-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),CRAFTSMAN,CMCK200C2,99.0,0.0,1.0,9.6,486.0,4.6584,8.0,3.0,1.0,2.0
01,LOWXR 20-Volt Max 1/2-in Drive Variable Brushless Cordless Impact Wrench (1-Battery Included and Charger Included)DEWALT,LOW,XR 20-Volt Max 1/2-in Drive Variable Brushless Cordless Impact Wrench (1-Battery Included and Charger Included),DEWALT,DCF899M1,319.0,0.0,1.0,7.2,155.0,4.729,9.5,6.0,0.0,2.0
01,LOW6-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)DEWALT,LOW,6-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK620D2,369.0,0.0,,28.5,161.0,4.764,9.5,0.0,1.0,7.0
01,LOW24-Volt Max 1/2-in Drive Variable Brushless Cordless Impact Wrench (1-Battery Included and Charger Included)Kobalt,LOW,24-Volt Max 1/2-in Drive Variable Brushless Cordless Impact Wrench (1-Battery Included and Charger Included),Kobalt,KIW 1524A-03,219.0,0.0,1.0,7.6,333.0,4.8258,11.0,3.0,0.0,2.0
01,LOWV20 4-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)CRAFTSMAN,LOW,V20 4-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),CRAFTSMAN,CMCK400D2,179.0,0.0,1.0,14.0,213.0,4.6667,12.5,11.0,1.0,2.0
01,LOW2-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)DEWALT,LOW,2-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK240C2,149.0,0.0,1.0,9.36,493.0,4.643,12.5,4.0,1.0,2.0
01,LOW4-Tool 20-Volt Power Tool Combo Kit (Charger Included and 2-Batteries Included)BLACK+DECKER,LOW,4-Tool 20-Volt Power Tool Combo Kit (Charger Included and 2-Batteries Included),BLACK+DECKER,BD4KITCDCRL,219.99,0.0,1.0,14.9,243.0,4.5021,14.0,5.0,1.0,2.0
01,LOW18-Volt Variable Speed Cordless Impact Driver (2-Battery)Metabo HPT,LOW,18-Volt Variable Speed Cordless Impact Driver (2-Battery),Metabo HPT,WH18DGLM,47.98,0.0,0.0,8.6,155.0,4.7161,17.0,0.0,1.0,7.0
01,LOW8-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)PORTER-CABLE,LOW,8-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),PORTER-CABLE,PCCK6118,449.0,0.0,1.0,31.3,76.0,4.4474,15.5,3.0,0.0,7.0
01,LOW60-Gallon Two Stage Electric Vertical Air CompressorKobalt,LOW,60-Gallon Two Stage Electric Vertical Air Compressor,Kobalt,XC602000,589.0,0.0,1.0,255.0,95.0,4.0842,16.5,3.0,0.0,7.0
01,LOWSet Bi-Metal Arbored Hole Saw SetSpyder,LOW,Set Bi-Metal Arbored Hole Saw Set,Spyder,600887,39.98,0.0,1.0,,36.0,4.5278,17.5,10.0,1.0,7.0
01,LOW18 V Lithium Ion Compact Driver Drill (1.3Ah)Metabo HPT,LOW,18 V Lithium Ion Compact Driver Drill (1.3Ah),Metabo HPT,DS18DGLM,49.98,0.0,0.0,3.7,254.5,4.5992,19.5,0.0,1.0,7.0
01,LOW4-Tool 24-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 1-Batteries Included)Kobalt,LOW,4-Tool 24-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 1-Batteries Included),Kobalt,KLC 4024A-03,249.0,0.0,1.0,15.65,901.0,4.7392,20.0,6.0,1.0,2.0
01,LOW1-Handle Brass Tub/Shower Valve Stem for American StandardBLACK+DECKER,LOW,1-Handle Brass Tub/Shower Valve Stem for American Standard,BLACK+DECKER,LDX120C,28.99,0.0,,,,,21.0,0.0,0.0,7.0
01,LOW5.2-Amp 3/8-in Keyless Corded DrillBLACK+DECKER,LOW,5.2-Amp 3/8-in Keyless Corded Drill,BLACK+DECKER,DR260C,34.98,0.0,1.0,3.5,129.0,4.5,21.0,7.0,0.0,2.0
01,LOW20-Volt Max 1/2-in Cordless Drill (Charger Included)PORTER-CABLE,LOW,20-Volt Max 1/2-in Cordless Drill (Charger Included),PORTER-CABLE,PCC601LB,99.0,0.0,,6.9,215.0,4.6,21.0,0.0,0.0,7.0
01,LOW20-Volt Max 3/8-in Cordless Drill (Charger Included)BLACK+DECKER,LOW,20-Volt Max 3/8-in Cordless Drill (Charger Included),BLACK+DECKER,LD120VA,74.0,0.0,1.0,3.875,99.5,4.699999999999999,21.0,2.5,0.0,2.0
01,LOW20-Volt Max 1/2-in Cordless Drill (Charger Included)DEWALT,LOW,20-Volt Max 1/2-in Cordless Drill (Charger Included),DEWALT,DCD771C2,159.0,0.0,,3.6,840.0,4.6,21.0,0.0,0.0,7.0
01,LOWV20 20-Volt Max 1/2-in Cordless Drill (Charger Included)CRAFTSMAN,LOW,V20 20-Volt Max 1/2-in Cordless Drill (Charger Included),CRAFTSMAN,CMCD700C1,69.0,0.0,1.0,2.67,278.0,4.7,21.0,10.0,1.0,2.0
01,LOW20-Volt Max Variable Speed Cordless Impact Driver (1-Battery)DEWALT,LOW,20-Volt Max Variable Speed Cordless Impact Driver (1-Battery),DEWALT,DCF885C1,99.0,0.0,0.0,3.7,255.0,4.7,21.0,0.0,1.0,7.0
01,LOW8-Volt 3/8-in Cordless Drill (Charger Included)BLACK+DECKER,LOW,8-Volt 3/8-in Cordless Drill (Charger Included),BLACK+DECKER,BDCD8C,29.97,0.0,1.0,2.09,40.0,3.9,21.0,0.0,0.0,7.0
01,LOW2-Tool 12-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included)Bosch,LOW,2-Tool 12-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),Bosch,CLPK22-120,169.0,0.0,1.0,7.8,304.0,4.8,21.0,6.0,0.0,7.0
01,LOW59-Tool 12-Volt Power Tool Combo Kit with Soft Case (Charger Included and 1-Batteries Included)BLACK+DECKER,LOW,59-Tool 12-Volt Power Tool Combo Kit with Soft Case (Charger Included and 1-Batteries Included),BLACK+DECKER,BDCDD12PK,79.98,0.0,,7.45,,5.0,21.0,0.0,0.0,7.0
01,"HDDEWALT 20-Volt MAX Lithium-Ion Cordless Brushless Compact 1/2 in. Drill Driver with (2) Batteries 1.3Ah, Charger and Tool BagDEWALT",HD,"DEWALT 20-Volt MAX Lithium-Ion Cordless Brushless Compact 1/2 in. Drill Driver with (2) Batteries 1.3Ah, Charger and Tool Bag",DEWALT,DCD777C2,99.0,0.0,,5.8,2189.5,4.7,21.0,0.0,0.0,2.0
01,HDDEWALT 20-Volt MAX Lithium-Ion Cordless Brushless Drill/Driver and Impact Combo Kit (2-Tool) w/ (2) Batteries 1.3Ah and ChargerDEWALT,HD,DEWALT 20-Volt MAX Lithium-Ion Cordless Brushless Drill/Driver and Impact Combo Kit (2-Tool) w/ (2) Batteries 1.3Ah and Charger,DEWALT,DCK277C2,149.0,0.0,,,292.0,4.6,21.0,0.0,0.0,2.0
01,"HDDEWALT 20-Volt MAX XR Lithium-Ion Cordless Brushless Drill/Impact Combo Kit (2-Tool) with (2) Batteries 2Ah, Charger and BagDEWALT",HD,"DEWALT 20-Volt MAX XR Lithium-Ion Cordless Brushless Drill/Impact Combo Kit (2-Tool) with (2) Batteries 2Ah, Charger and Bag",DEWALT,DCK283D2,249.0,0.0,,,389.0,4.8,21.0,3.0,0.0,2.0
01,"HDDEWALT 20-Volt MAX Lithium-Ion Cordless 1/4 in. Impact Driver with (2) Batteries 1.5Ah, Charger and Tool BagDEWALT",HD,"DEWALT 20-Volt MAX Lithium-Ion Cordless 1/4 in. Impact Driver with (2) Batteries 1.5Ah, Charger and Tool Bag",DEWALT,DCF885C2,179.0,0.0,,7.34,303.0,4.6,21.0,0.0,0.0,2.0
01,"HDDEWALT 20-Volt MAX XR Cordless Brushless High Torque 1/2 in. Impact Wrench w/ Detent Pin Anvil,Battery 4.0Ah,Charger & Tool BagDEWALT",HD,"DEWALT 20-Volt MAX XR Cordless Brushless High Torque 1/2 in. Impact Wrench w/ Detent Pin Anvil,Battery 4.0Ah,Charger & Tool Bag",DEWALT,DCF899M1,249.0,0.0,,10.8,427.5,4.7,21.0,2.0,1.0,2.0
